date,year,season,bc_cut,site,position,rep,code,DM_totalBC,Lp_g,Ac_g,Dg_g,Ao_g,Bh_g,Ryt_g,Vb_g,Cm_g,Hl_g,Cc_g,Ca_g,La_g,Sa_g,Tr_g,Tp_g,Ts_g,Td_g,Tg_g,Pl_g,catsear_g,hawksbeard_g,carex_g,juncus_g,unknown_g,dead_g,Lp_per,Ac_per,Dg_per,Ao_per,Bh_per,Ryt_per,Vb_per,Cm_per,Hl_per,Cc_per,Ca_per,La_per,Sa_per,Tr_per,Tp_per,Ts_per,Td_per,Tg_per,Pl_per,catsear_per,hawksbeard_per,carex_per,juncus_per,unknown_per,dead_per
11/12/2019,1,spring,0,wa,tree,1,S1T1P1,3.7091,0.303,0.57,2.0553,,0.2401,,,,,0.0560,,,,,,,,,,,,,,0.0624,0.4223,0.081690976,0.153676094,0.554123642,0,0.064732684,0,0,0,0,0.015098002,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016823488,0.113855113
11/12/2019,1,spring,0,wa,tree,2,S1T2P1,2.0483,0.2852,,1.4101,,,,,,,,,,,,,,,,,,,,,,0.353,0.139237416,0,0.688424547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.172338036
11/12/2019,1,spring,0,wa,tree,3,S1T3P1,2.6279,1.014,0.2535,,,,,,0.8135,,,,,,,,,,,,,,,,,0.5469,0.385859431,0.096464858,0,0,0,0,0,0.309562769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.208112942
11/12/2019,1,spring,0,wa,tree,4,S1T4P1,3.0334,2.1368,,0.0783,,0.0823,,,0.4502,,,,,,,,,,,,,,,,0.0513,0.2345,0.704424079,0,0.02581262,0,0.027131272,0,0,0.148414321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016911716,0.077305993
11/12/2019,1,spring,0,wa,open,1,S1T1P2,3.1225,0.6537,1.1692,,,0.4025,0.105,,,0.195,,,,,,,,,,0.152,,,,,,0.4451,0.209351481,0.374443555,0,0,0.128903122,0.033626902,0,0,0.06244996,0,0,0,0,0,0,0,0,0,0.048678943,0,0,0,0,0,0.142546037
11/12/2019,1,spring,0,wa,open,2,S1T2P2,3.1197,0.0738,0.2598,,0.1786,,0.4585,0.8878,,,,,,,,,,,,,,,,,0.089,1.1722,0.023656121,0.083277238,0,0.057249094,0,0.14696926,0.284578645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028528384,0.375741257
11/12/2019,1,spring,0,wa,open,3,S1T3P2,3.1712,0.487,0.508,,,0.106,0.4295,0.9205,,,,,,,,,,,,,,,,,0.2689,0.4513,0.153569627,0.160191726,0,0,0.033425832,0.135437689,0.290268668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0847944,0.142312059
11/12/2019,1,spring,0,wa,open,4,S1T4P2,3.3796,0.067,,,,0.7945,1.5774,0.2423,,,,,,,,,,,,,,,,,0.3194,0.379,0.019824831,0,0,0,0.235086993,0.466741626,0.071694875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.094508226,0.112143449
16/12/2019,1,spring,0,hb,tree,1,S2T1P1,3.1687,2.1555,0.4931,0.325,,0.0585,,,,,,,,,,,,,,,,,,,,0.1366,0.68024742,0.155615868,0.102565721,0,0.01846183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.043109161
16/12/2019,1,spring,0,hb,tree,2,S2T2P1,4.2587,2.423,0.8341,0.4755,,0.1295,,,,0.1,,,,,,,,,,,,,,,0.0166,0.28,0.568952967,0.195857891,0.111653791,0,0.030408341,0,0,0,0.023481344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003897903,0.065747763
16/12/2019,1,spring,0,hb,tree,3,S2T3P1,4.1656,1.0885,0.1955,0.4075,,0.9046,,,1.327,,,,,,,,,,,,,,,,,0.2425,0.261306895,0.046932015,0.097825043,0,0.217159593,0,0,0.318561552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.058214903
16/12/2019,1,spring,0,hb,tree,4,S2T4P1,3.3779,1.4845,0.3805,0.3515,,0.4595,,,0.4553,,,,,,,,,,,,,,,,,0.2466,0.43947423,0.11264395,0.104058735,0,0.136031262,0,0,0.134787886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.073003937
16/12/2019,1,spring,0,hb,tree,5,S2T5P1,3.4875,0.831,0.4315,1.7788,,0.2011,,,,,,,,,,,,,,,,,,,0.1222,0.1229,0.23827957,0.123727599,0.510050179,0,0.057663082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035039427,0.035240143
16/12/2019,1,spring,0,hb,open,1,S2T1P2,1.0448,0.2516,0.1427,,,,0.3109,0.1243,,,,,,,,,,,,,,,,,,0.2153,0.240811639,0.136581164,0,0,0,0.297568913,0.118970138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.206068147
16/12/2019,1,spring,0,hb,open,2,S2T2P2,3.1994,0.3557,0.4955,0.2455,0.527,,,,,0.3714,0.1008,,,,0.04,,,,,,,,0.4601,,0.2136,0.3898,0.111177096,0.154872789,0.076733137,0.164718385,0,0,0,0,0.116084266,0.031505907,0,0,0,0.012502344,0,0,0,0,0,0,0,0.143808214,0,0.066762518,0.121835344
16/12/2019,1,spring,0,hb,open,3,S2T3P2,2.1168,0.0329,1.1852,,,,0.1923,0.4154,,,,,,,,,,,,,,,,,,0.291,0.015542328,0.559901738,0,0,0,0.090844671,0.196239607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.137471655
16/12/2019,1,spring,0,hb,open,4,S2T4P2,3.1553,0.4504,1.8536,,0.1802,,,0.0997,,,,,,,,,,,,,,,0.082,,,0.4894,0.142743955,0.587456026,0,0.057110259,0,0,0.031597629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02598802,0,0,0.155104111
16/12/2019,1,spring,0,hb,open,5,S2T5P2,2.5769,,0.6121,0.0358,0.4563,,0.4323,0.152,,,,,,,,,,,,,,,0.3126,,,0.5758,0,0.23753347,0.013892662,0.177073228,0,0.167759711,0.058985603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.121308549,0,0,0.223446777
12/02/2020,1,summer,1,wa,tree,1,S1T1P1,0.3498,0.0605,,0.1795,,,,,,,,,,,,,,,,,,,,,,0.1098,0.172955975,0,0.513150372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.313893654
12/02/2020,1,summer,1,wa,tree,2,S1T2P1,0.306,0.0343,,0.2517,,,,,,,,,,,,,,,,,,,,,,0.02,0.112091503,0,0.82254902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.065359477
12/02/2020,1,summer,1,wa,tree,3,S1T3P1,0.3242,0.0918,0.0304,0.0454,,,,,0.037,,,,,,,,,,,,,,,,,0.1196,0.283158544,0.093769278,0.140037014,0,0,0,0,0.114127082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.368908081
12/02/2020,1,summer,1,wa,tree,4,S1T4P1,0.5988,0.4776,0.0375,,,,,,,,,,,,,,,,,,,,,,,0.0837,0.79759519,0.062625251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.139779559
12/02/2020,1,summer,1,wa,open,1,S1T1P2,0.3946,,0.047,,,,0.0126,,,,,,,,,,,,,,,,,,,0.335,0,0.119107957,0,0,0,0.031931069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.848960973
12/02/2020,1,summer,1,wa,open,2,S1T2P2,0.1828,,0.0393,,,,0.041,,,,,,,,,,,,,,,,,,,0.1025,0,0.214989059,0,0,0,0.22428884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.560722101
12/02/2020,1,summer,1,wa,open,3,S1T3P2,0.5728,,0.0149,,,,,,,,,,,,,,,,,,,,,,,0.5579,0,0.02601257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.97398743
12/02/2020,1,summer,1,wa,open,4,S1T4P2,0.7559,,0.0102,,0.0968,,0.0996,,,,,,,,,,,,,,,,,,,0.5493,0,0.013493848,0,0.128059267,0,0.131763461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.726683424
13/02/2020,1,summer,1,hb,tree,1,S2T1P1,0.3753,0.2072,,0.1127,,,,,,,,,,,,,,,,,,,,,,0.0554,0.55209166,0,0.300293099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.147615241
13/02/2020,1,summer,1,hb,tree,2,S2T2P1,0.6929,0.4232,,0.0921,,,,,,,,,,,,,,,,,,,,,,0.1776,0.610766344,0,0.132919613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.256314042
13/02/2020,1,summer,1,hb,tree,3,S2T3P1,0.2497,0.1176,,0.0261,,,,,,,,,,,,,,,,,,,,,,0.106,0.470965158,0,0.104525431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.424509411
13/02/2020,1,summer,1,hb,tree,4,S2T4P1,0.573,0.0674,,0.1453,,,,,,,,,,,,,,,,,,,,,,0.3603,0.117626527,0,0.253577661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.628795812
13/02/2020,1,summer,1,hb,tree,5,S2T5P1,0.2104,0.051,,0.0817,,,,,,,,,,,,,,,,,,,,,,0.0777,0.242395437,0,0.388307985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.369296578
13/02/2020,1,summer,1,hb,open,1,S2T1P2,1.5695,0.0511,0.4874,0.3914,0.0298,,,,,,,,,,,,,,,,,,,,,0.6098,0.03255814,0.310544759,0.249378783,0.018986939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.388531379
13/02/2020,1,summer,1,hb,open,2,S2T2P2,0.4088,,0.0492,,0.0055,,,,,,,,,,,,,,,,,,,,,0.3541,0,0.12035225,0,0.013454012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.866193738
13/02/2020,1,summer,1,hb,open,3,S2T3P2,0.2211,,0.0732,,,,0.0262,,,,,,,,,,,,,,,,,,,0.1217,0,0.331071913,0,0,0,0.118498417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.55042967
13/02/2020,1,summer,1,hb,open,4,S2T4P2,0.367,0.0172,0.0967,,,,,,,,,,,,,,,,,,,,,,,0.2531,0.046866485,0.263487738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.689645777
