date,season,pasture_cut,site,position,rep,code,DM__sinBc_gm2,DM_totalBC_gm2,DM_total_gm2,DM_total_kgha
12/02/2020,summer,1,wa,tree,1,S1T1P1,4.815,0.3498,5.1648,516.48
12/02/2020,summer,1,wa,tree,2,S1T2P1,3.693,0.306,3.999,399.9
12/02/2020,summer,1,wa,tree,3,S1T3P1,2.2,0.3242,2.5242,252.42
12/02/2020,summer,1,wa,tree,4,S1T4P1,,0.5988,0.5988,59.88
12/02/2020,summer,1,wa,open,1,S1T1P2,1.337,0.3946,1.7316,173.16
12/02/2020,summer,1,wa,open,2,S1T2P2,2.426,0.1828,2.6088,260.88
12/02/2020,summer,1,wa,open,3,S1T3P2,4.74,0.5728,5.3128,531.28
12/02/2020,summer,1,wa,open,4,S1T4P2,2.71,0.7559,3.4659,346.59
13/02/2020,summer,1,hb,tree,1,S2T1P1,23.082,0.3753,23.4573,2345.73
13/02/2020,summer,1,hb,tree,2,S2T2P1,10.896,0.6929,11.5889,1158.89
13/02/2020,summer,1,hb,tree,3,S2T3P1,3.329,0.2497,3.5787,357.87
13/02/2020,summer,1,hb,tree,4,S2T4P1,3.472,0.573,4.045,404.5
13/02/2020,summer,1,hb,tree,5,S2T5P1,5.011,0.2104,5.2214,522.14
13/02/2020,summer,1,hb,open,1,S2T1P2,10.846,1.5695,12.4155,1241.55
13/02/2020,summer,1,hb,open,2,S2T2P2,3.989,0.4088,4.3978,439.78
13/02/2020,summer,1,hb,open,3,S2T3P2,2.311,0.2211,2.5321,253.21
13/02/2020,summer,1,hb,open,4,S2T4P2,5.371,0.367,5.738,573.8
13/02/2020,summer,1,hb,open,5,S2T5P2,3.641,0.4267,4.0677,406.77
20/05/2020,autumn,2,wa,tree,1,S1T1P1,17.45,0.5058,17.9558,1795.58
20/05/2020,autumn,2,wa,tree,2,S1T2P1,11.284,0.5957,11.8797,1187.97
20/05/2020,autumn,2,wa,tree,3,S1T3P1,10.94,0.6384,11.5784,1157.84
20/05/2020,autumn,2,wa,tree,4,S1T4P1,10.065,0.5599,10.6249,1062.49
20/05/2020,autumn,2,wa,open,1,S1T1P2,2.379,0.4875,2.8665,286.65
20/05/2020,autumn,2,wa,open,2,S1T2P2,5.731,0.3301,6.0611,606.11
20/05/2020,autumn,2,wa,open,3,S1T3P2,2.083,0.4983,2.5813,258.13
20/05/2020,autumn,2,wa,open,4,S1T4P2,3.899,0.3887,4.2877,428.77
19/05/2020,autumn,2,hb,tree,1,S2T1P1,10.17,1.7118,11.8818,1188.18
19/05/2020,autumn,2,hb,tree,2,S2T2P1,5.647,0.7179,6.3649,636.49
19/05/2020,autumn,2,hb,tree,3,S2T3P1,5.723,0.6356,6.3586,635.86
19/05/2020,autumn,2,hb,tree,4,S2T4P1,2.961,0.9398,3.9008,390.08
19/05/2020,autumn,2,hb,tree,5,S2T5P1,2.099,0.5001,2.5991,259.91
19/05/2020,autumn,2,hb,open,1,S2T1P2,5.682,0.7771,6.4591,645.91
19/05/2020,autumn,2,hb,open,2,S2T2P2,1.057,0.3938,1.4508,145.08
19/05/2020,autumn,2,hb,open,3,S2T3P2,7.357,0.3292,7.6862,768.62
19/05/2020,autumn,2,hb,open,4,S2T4P2,3.226,0.4953,3.7213,372.13
19/05/2020,autumn,2,hb,open,5,S2T5P2,3.978,0.3442,4.3222,432.22
30/06/2020,autumn,3,wa,tree,1,S1T1P1,,,5.066,506.6
30/06/2020,autumn,3,wa,tree,2,S1T2P1,,,5.458,545.8
30/06/2020,autumn,3,wa,tree,3,S1T3P1,,,6.585,658.5
30/06/2020,autumn,3,wa,tree,4,S1T4P1,,,3.275,327.5
30/06/2020,autumn,3,wa,open,1,S1T1P2,,,1.542,154.2
30/06/2020,autumn,3,wa,open,2,S1T2P2,,,2.426,242.6
30/06/2020,autumn,3,wa,open,3,S1T3P2,,,2.363,236.3
30/06/2020,autumn,3,wa,open,4,S1T4P2,,,2.55,255
01/07/2020,autumn,3,hb,tree,1,S2T1P1,,,5.026,502.6
01/07/2020,autumn,3,hb,tree,2,S2T2P1,,,6.595,659.5
01/07/2020,autumn,3,hb,tree,3,S2T3P1,,,5.266,526.6
01/07/2020,autumn,3,hb,tree,4,S2T4P1,,,5.71,571
01/07/2020,autumn,3,hb,tree,5,S2T5P1,,,1.449,144.9
01/07/2020,autumn,3,hb,open,1,S2T1P2,,,2.315,231.5
01/07/2020,autumn,3,hb,open,2,S2T2P2,,,1.73,173
01/07/2020,autumn,3,hb,open,3,S2T3P2,,,4.709,470.9
01/07/2020,autumn,3,hb,open,4,S2T4P2,,,4.35,435
01/07/2020,autumn,3,hb,open,5,S2T5P2,,,1.301,130.1
12/08/2020,winter,4,wa,tree,1,S1T1P1,3.644,0.2975,3.9415,394.15
12/08/2020,winter,4,wa,tree,2,S1T2P1,2.195,0.2037,2.3987,239.87
12/08/2020,winter,4,wa,tree,3,S1T3P1,4.85,0.2785,5.1285,512.85
12/08/2020,winter,4,wa,tree,4,S1T4P1,5.083,0.2635,5.3465,534.65
12/08/2020,winter,4,wa,open,1,S1T1P2,0.812,0.1902,1.0022,100.22
12/08/2020,winter,4,wa,open,2,S1T2P2,1.92,0.1667,2.0867,208.67
12/08/2020,winter,4,wa,open,3,S1T3P2,1.201,0.1367,1.3377,133.77
12/08/2020,winter,4,wa,open,4,S1T4P2,1.625,0.0979,1.7229,172.29
12/08/2020,winter,4,hb,tree,1,S2T1P1,8.321,0.2152,8.5362,853.62
12/08/2020,winter,4,hb,tree,2,S2T2P1,5.151,0.1776,5.3286,532.86
12/08/2020,winter,4,hb,tree,3,S2T3P1,12.066,0.2516,12.3176,1231.76
12/08/2020,winter,4,hb,tree,4,S2T4P1,12.786,0.3592,13.1452,1314.52
12/08/2020,winter,4,hb,tree,5,S2T5P1,3.188,0.2317,3.4197,341.97
12/08/2020,winter,4,hb,open,1,S2T1P2,1.467,0.1354,1.6024,160.24
12/08/2020,winter,4,hb,open,2,S2T2P2,2.037,0.1983,2.2353,223.53
12/08/2020,winter,4,hb,open,3,S2T3P2,1.176,0.0987,1.2747,127.47
12/08/2020,winter,4,hb,open,4,S2T4P2,4.245,0.1423,4.3873,438.73
12/08/2020,winter,4,hb,open,5,S2T5P2,4.191,0.183,4.374,437.4
25/09/2020,winter,5,wa,tree,1,S1T1P1,,,2.057,205.7
25/09/2020,winter,5,wa,tree,2,S1T2P1,,,2.69,269
25/09/2020,winter,5,wa,tree,3,S1T3P1,,,2.693,269.3
25/09/2020,winter,5,wa,tree,4,S1T4P1,,,7.703,770.3
25/09/2020,winter,5,wa,open,1,S1T1P2,,,1.203,120.3
25/09/2020,winter,5,wa,open,2,S1T2P2,,,1.7,170
25/09/2020,winter,5,wa,open,3,S1T3P2,,,1.841,184.1
25/09/2020,winter,5,wa,open,4,S1T4P2,,,1.346,134.6
26/09/2020,winter,5,hb,tree,1,S2T1P1,,,9.446,944.6
26/09/2020,winter,5,hb,tree,2,S2T2P1,,,9.599,959.9
26/09/2020,winter,5,hb,tree,3,S2T3P1,,,16.902,1690.2
26/09/2020,winter,5,hb,tree,4,S2T4P1,,,13.929,1392.9
26/09/2020,winter,5,hb,tree,5,S2T5P1,,,10.333,1033.3
26/09/2020,winter,5,hb,open,1,S2T1P2,,,8.398,839.8
26/09/2020,winter,5,hb,open,2,S2T2P2,,,9.308,930.8
26/09/2020,winter,5,hb,open,3,S2T3P2,,,4.301,430.1
26/09/2020,winter,5,hb,open,4,S2T4P2,,,14.783,1478.3
26/09/2020,winter,5,hb,open,5,S2T5P2,,,4.529,452.9
