site,position,rep,code,date,batch ,pH,olsen_phosphorus,sulphate_sulphur,extractable_organic_sulphur,organic_matter,total_carbon,total_nitrogen,total_phosphorus,potassium,calcium,magnesium,sodium,CEC
wa,tree,1,S1T1P1,2019,1,6.1,57,15,9,9.1,5.3,0.46,975,1.34,12.6,3.88,0.51,24
wa,tree,1,S1T1P1,2021,2,6.4,48,7,5,9.3,5.4,0.44,924,1.31,12.2,3.21,0.43,21
wa,tree,2,S1T2P1,2019,1,5.8,50,8,9,8.8,5.1,0.42,863,0.81,12.3,3.73,0.22,24
wa,tree,2,S1T2P1,2021,2,6.1,41,5,4,8.8,5.1,0.42,844,0.92,12.7,3.57,0.21,23
wa,tree,3,S1T3P1,2019,1,5.6,62,15,,13.5,7.8,0.62,918,0.87,13.6,3.99,0.38,29
wa,tree,3,S1T3P1,2021,2,5.8,49,7,5,13.8,8,0.62,939,0.82,12.6,3.81,0.31,26
wa,tree,4,S1T4P1,2019,1,5.3,111,14,11,16.6,9.7,0.71,"1,148",1.14,12.9,3.33,0.37,33
wa,tree,4,S1T4P1,2021,2,5.7,67,8,7,19.1,11.1,0.83,"1,133",0.85,17,3.61,0.42,37
wa,open,1,S1T1P2,2019,1,5.8,24,5,5,6,3.5,0.29,565,0.57,8.8,3.04,0.13,18
wa,open,1,S1T1P2,2021,2,5.9,22,5,4,6.2,3.6,0.29,623,0.54,9.2,3.46,0.19,19
wa,open,2,S1T2P2,2019,1,6,42,7,4,5.7,3.3,0.28,663,0.65,9.1,2.65,0.13,17
wa,open,2,S1T2P2,2021,2,5.9,32,3,3,5.9,3.4,0.29,597,0.48,7.2,2.25,0.14,15
wa,open,3,S1T3P2,2019,1,5.8,28,18,4,5.3,3.1,0.25,502,0.61,8.1,2.57,0.12,16
wa,open,3,S1T3P2,2021,2,5.9,28,4,4,5.6,3.3,0.26,565,0.5,8.4,2.65,0.17,16
wa,open,4,S1T4P2,2019,1,6.1,42,6,5,5.2,3,0.26,640,0.75,9.4,2.84,0.12,17
wa,open,4,S1T4P2,2021,2,6.1,41,7,3,6.1,3.6,0.3,703,0.76,10.7,2.42,0.17,19
hb,tree,1,S2T1P1,2019,1,5.5,51,8,8,8,4.6,0.4,704,0.76,5.1,1.76,0.17,16
hb,tree,1,S2T1P1,2021,2,5.5,32,7,4,6.5,3.8,0.34,703,0.38,7.3,2.09,0.27,18
hb,tree,2,S2T2P1,2019,1,5.3,72,13,,10,5.8,0.51,"1,150",1.22,6.7,2.28,0.2,20
hb,tree,2,S2T2P1,2021,2,5.5,42,36,6,8.2,4.8,0.41,772,1.03,7.1,2.31,0.27,20
hb,tree,3,S2T3P1,2019,1,5.4,120,17,11,10.2,5.9,0.56,"1,315",2.1,6.5,2.58,0.28,21
hb,tree,3,S2T3P1,2021,2,5.5,52,15,6,8.7,5,0.47,861,1.2,6,2.16,0.46,19
hb,tree,4,S2T4P1,2019,1,5.4,89,11,9,10.4,6.1,0.55,"1,012",1.91,7.1,2.4,0.39,21
hb,tree,4,S2T4P1,2021,2,5.5,82,,6,8.6,5,0.48,900,2.39,6.7,1.96,0.3,20
hb,tree,5,S2T5P1,2019,1,5.3,54,8,6,6.1,3.6,0.3,583,0.76,5.4,1.83,0.24,16
hb,tree,5,S2T5P1,2021,2,5.7,58,12,5,6.9,4,0.34,649,1.06,7.6,2.27,0.35,20
hb,open,1,S2T1P2,2019,1,5.4,23,7,6,5.9,3.4,0.29,423,0.86,5.1,1.93,0.1,15
hb,open,1,S2T1P2,2021,2,5.4,19,7,4,8.5,4.9,0.42,583,0.48,7.2,1.57,0.11,18
hb,open,2,S2T2P2,2019,1,5.3,23,11,7,7.2,4.2,0.37,666,0.39,6.3,1.51,0.13,16
hb,open,2,S2T2P2,2021,2,5.5,31,9,4,6.1,3.5,0.3,464,0.8,5.2,1.56,0.1,15
hb,open,3,S2T3P2,2019,1,5.2,24,7,6,9,5.2,0.42,609,0.31,5.7,1.4,0.1,17
hb,open,3,S2T3P2,2021,2,5.4,32,10,4,7.2,4.2,0.35,580,0.39,5.8,1.43,0.1,17
hb,open,4,S2T4P2,2019,1,5.2,31,5,6,8.2,4.7,0.41,600,0.53,6,1.98,0.15,18
hb,open,4,S2T4P2,2021,2,5.4,38,28,4,8.3,4.8,0.4,727,0.45,6.9,2.25,0.11,19
hb,open,5,S2T5P2,2019,1,5.1,21,10,7,7.9,4.6,0.38,545,0.43,5.8,1.22,0.11,17
hb,open,5,S2T5P2,2021,2,5.3,27,9,4,8.7,5.1,0.4,547,0.48,6.1,1.24,0.1,18
