small_core_no,site,position,tree_rep,core_rep,code,particle_density_gcm3,dry_bulk_density_gcm3,porosity_per,6kPa_per,10kPa_per,33kPa_per,1500kPa_per,rd_33kPa,rd_10kPa,rd_6kPa,aw_6kPa,raw_33kPa,raw_10kPa,33_10kPa
70,wa,tree,1,1,S1T1P1,2.52,0.99,60.85,46.42,43.38,37.70,16.04,23.15,17.46,14.42,30.39,21.66,27.34,5.69
32,wa,tree,1,2,S1T1P1,2.52,1.03,59.37,45.39,42.35,36.85,16.64,22.52,17.03,13.99,28.74,20.21,25.70,5.50
194,wa,tree,1,3,S1T1P1,2.52,1.02,59.39,45.09,42.00,36.56,16.64,22.83,17.38,14.30,28.45,19.92,25.37,5.44
286,wa,tree,1,4,S1T1P1,2.52,1.10,56.48,45.28,42.15,37.51,17.83,18.97,14.32,11.20,27.45,19.68,24.33,4.64
37,wa,tree,2,1,S1T2P1,2.60,1.09,57.84,47.62,45.35,39.89,17.58,17.94,12.48,10.22,30.04,22.31,27.77,5.46
5,wa,tree,2,2,S1T2P1,2.60,1.02,60.63,44.70,42.55,38.04,16.42,22.60,18.08,15.93,28.28,21.62,26.13,4.51
214,wa,tree,2,3,S1T2P1,2.60,1.08,58.53,45.91,43.94,38.89,17.29,19.64,14.59,12.62,28.62,21.60,26.65,5.05
91,wa,tree,2,4,S1T2P1,2.60,1.01,60.93,43.56,41.35,36.17,16.29,24.76,19.58,17.37,27.27,19.88,25.06,5.18
109,wa,tree,3,1,S1T3P1,2.51,0.87,65.53,46.30,42.29,35.95,14.99,29.59,23.24,19.23,31.31,20.96,27.31,6.35
107,wa,tree,3,2,S1T3P1,2.51,0.76,69.63,43.81,39.86,34.76,13.20,34.88,29.77,25.83,30.60,21.55,26.65,5.10
123,wa,tree,3,3,S1T3P1,2.51,0.84,66.74,44.43,40.52,34.46,14.46,32.28,26.22,22.31,29.97,19.99,26.06,6.06
89,wa,tree,3,4,S1T3P1,2.51,0.86,65.85,44.35,40.65,35.11,14.85,30.74,25.20,21.50,29.50,20.26,25.80,5.53
18,wa,tree,4,1,S1T4P1,2.33,,,,,,,,,,,,,
171,wa,tree,4,2,S1T4P1,2.33,,,,,,,,,,,,,
232,wa,tree,4,3,S1T4P1,2.33,0.98,58.10,38.68,35.37,29.46,19.45,28.63,22.73,19.42,19.22,10.01,15.92,5.91
98,wa,tree,4,4,S1T4P1,2.33,0.77,67.03,40.79,37.54,31.71,15.30,35.32,29.49,26.24,25.49,16.40,22.24,5.84
180,wa,open,1,1,S1T1P2,2.61,1.15,56.01,47.69,45.85,40.82,17.80,15.19,10.15,8.31,29.89,23.02,28.05,5.04
208,wa,open,1,2,S1T1P2,2.61,1.19,54.27,46.97,45.28,40.81,18.50,13.46,8.99,7.30,28.46,22.30,26.77,4.47
213,wa,open,1,3,S1T1P2,2.61,1.15,55.93,43.78,42.13,38.19,17.83,17.74,13.80,12.15,25.95,20.36,24.30,3.94
106,wa,open,1,4,S1T1P2,2.61,1.19,54.54,43.66,41.77,37.48,18.39,17.06,12.77,10.88,25.26,19.09,23.37,4.29
187,wa,open,2,1,S1T2P2,2.58,1.15,55.35,40.97,38.45,33.13,13.77,22.22,16.91,14.38,27.20,19.36,24.67,5.31
274,wa,open,2,2,S1T2P2,2.58,1.19,53.82,42.47,40.13,35.02,14.24,18.80,13.69,11.35,28.23,20.78,25.89,5.11
247,wa,open,2,3,S1T2P2,2.58,1.20,53.49,43.02,40.55,35.20,14.35,18.29,12.94,10.47,28.67,20.85,26.20,5.35
82,wa,open,2,4,S1T2P2,2.58,1.20,53.61,42.54,40.10,34.98,14.31,18.62,13.50,11.07,28.23,20.67,25.79,5.12
56,wa,open,3,1,S1T3P2,2.63,1.19,54.79,40.81,38.85,34.24,15.55,20.56,15.95,13.98,25.26,18.69,23.29,4.61
215,wa,open,3,2,S1T3P2,2.63,1.19,54.66,40.58,38.52,33.19,15.60,21.47,16.14,14.08,24.99,17.59,22.93,5.33
108,wa,open,3,3,S1T3P2,2.63,1.15,56.21,40.49,38.41,33.52,15.06,22.69,17.79,15.71,25.43,18.46,23.35,4.89
202,wa,open,3,4,S1T3P2,2.63,1.15,56.34,41.31,38.87,33.93,15.02,22.41,17.47,15.04,26.29,18.91,23.85,4.94
111,wa,open,4,1,S1T4P2,2.62,1.28,50.99,42.42,40.10,35.07,15.29,15.91,10.89,8.57,27.13,19.79,24.81,5.02
209,wa,open,4,2,S1T4P2,2.62,1.14,56.53,43.52,41.11,35.79,13.56,20.74,15.43,13.01,29.96,22.24,27.55,5.31
288,wa,open,4,3,S1T4P2,2.62,1.14,56.67,39.62,37.24,31.94,13.52,24.73,19.43,17.05,26.11,18.42,23.73,5.30
174,wa,open,4,4,S1T4P2,2.62,1.21,53.96,43.85,41.84,36.90,14.36,17.06,12.12,10.11,29.49,22.54,27.48,4.95
134,hb,tree,1,1,S2T1P1,2.78,1.05,62.34,36.88,33.84,28.37,13.15,33.97,28.50,25.46,23.73,15.21,20.69,5.48
143,hb,tree,1,2,S2T1P1,2.78,1.17,57.82,42.29,38.35,31.51,14.73,26.31,19.47,15.52,27.56,16.78,23.61,6.84
93,hb,tree,1,3,S2T1P1,2.78,1.15,58.57,43.61,38.13,29.94,14.47,28.63,20.43,14.96,29.14,15.46,23.66,8.20
281,hb,tree,1,4,S2T1P1,2.78,1.05,62.29,40.03,35.57,28.82,13.17,33.47,26.72,22.27,26.86,15.65,22.40,6.74
261,hb,tree,2,1,S2T2P1,2.61,1.15,55.97,48.70,45.06,36.85,13.04,19.11,10.90,7.26,35.66,23.81,32.02,8.21
327,hb,tree,2,2,S2T2P1,2.61,1.03,60.70,47.30,43.01,34.60,11.64,26.10,17.69,13.40,35.66,22.96,31.37,8.41
124,hb,tree,2,3,S2T2P1,2.61,1.08,58.55,44.47,39.12,30.71,12.28,27.84,19.43,14.09,32.19,18.44,26.84,8.41
25,hb,tree,2,4,S2T2P1,2.61,1.09,58.15,46.13,40.67,32.20,12.40,25.94,17.48,12.02,33.73,19.81,28.27,8.46
157,hb,tree,3,1,S2T3P1,2.55,1.04,59.23,40.33,35.93,29.15,11.77,30.08,23.30,18.90,28.56,17.38,24.16,6.78
17,hb,tree,3,2,S2T3P1,2.55,1.03,59.62,42.08,37.66,31.16,11.66,28.46,21.96,17.54,30.42,19.50,26.00,6.50
122,hb,tree,3,3,S2T3P1,2.55,0.96,62.48,39.80,34.20,26.65,10.83,35.83,28.28,22.69,28.96,15.82,23.37,7.56
292,hb,tree,3,4,S2T3P1,2.55,1.03,59.73,39.98,35.36,28.65,11.62,31.08,24.37,19.75,28.36,17.03,23.73,6.71
65,hb,tree,4,1,S2T4P1,2.63,0.96,63.45,42.00,36.50,28.76,13.02,34.69,26.94,21.45,28.98,15.74,23.48,7.74
198,hb,tree,4,2,S2T4P1,2.63,1.01,61.49,36.53,32.07,26.61,13.72,34.88,29.42,24.96,22.81,12.89,18.35,5.46
155,hb,tree,4,3,S2T4P1,2.63,1.00,61.89,39.70,35.49,28.90,13.58,32.99,26.40,22.19,26.13,15.32,21.91,6.59
320,hb,tree,4,4,S2T4P1,2.63,1.00,61.81,37.42,32.74,26.59,13.61,35.23,29.08,24.40,23.81,12.98,19.13,6.15
367,hb,tree,5,1,S2T5P1,2.51,1.06,57.86,34.91,30.08,23.65,12.42,34.21,27.78,22.95,22.49,11.23,17.66,6.43
212,hb,tree,5,2,S2T5P1,2.51,1.05,58.27,38.43,34.10,28.46,12.29,29.82,24.17,19.84,26.14,16.16,21.81,5.65
52,hb,tree,5,3,S2T5P1,2.51,1.01,59.59,45.28,38.89,29.45,11.91,30.14,20.70,14.31,33.37,17.54,26.99,9.45
255,hb,tree,5,4,S2T5P1,2.51,1.13,55.12,43.77,38.05,29.06,13.22,26.06,17.07,11.35,30.55,15.83,24.82,8.99
328,hb,open,1,1,S2T1P2,2.65,1.16,56.23,42.98,38.12,30.95,13.64,25.28,18.11,13.24,29.34,17.31,24.48,7.17
362,hb,open,1,2,S2T1P2,2.65,1.10,58.47,45.26,40.16,32.69,12.94,25.78,18.31,13.20,32.32,19.75,27.21,7.47
63,hb,open,1,3,S2T1P2,2.65,1.12,57.71,40.95,36.78,30.36,13.18,27.35,20.93,16.75,27.77,17.18,23.60,6.42
24,hb,open,1,4,S2T1P2,2.65,1.07,59.44,41.88,37.29,30.32,12.64,29.12,22.15,17.56,29.24,17.68,24.65,6.97
276,hb,open,2,1,S2T2P2,2.69,1.14,57.65,31.07,27.37,20.82,10.42,36.84,30.28,26.58,20.66,10.40,16.96,6.56
287,hb,open,2,2,S2T2P2,2.69,1.21,55.03,39.70,34.11,25.14,11.06,29.90,20.93,15.34,28.64,14.08,23.05,8.97
321,hb,open,2,3,S2T2P2,2.69,1.16,57.03,35.70,30.07,22.03,10.57,35.00,26.96,21.33,25.13,11.46,19.50,8.04
78,hb,open,2,4,S2T2P2,2.69,1.19,55.66,34.76,29.51,22.07,10.91,33.59,26.15,20.89,23.86,11.16,18.61,7.44
162,hb,open,3,1,S2T3P2,2.54,1.10,56.72,41.19,36.66,29.67,13.20,27.05,20.06,15.53,27.99,16.47,23.46,6.99
86,hb,open,3,2,S2T3P2,2.54,1.10,56.83,39.72,35.51,28.64,13.17,28.20,21.32,17.11,26.56,15.47,22.34,6.88
